country_name_norm,AQI Value,CO AQI Value,Ozone AQI Value,NO2 AQI Value,PM2.5 AQI Value,co2_emission_kt_avg_2017_2019,co2_emission_kt_2019
turkmenistan,104.72222222222223,1.0,42.666666666666664,0.3333333333333333,104.72222222222223,73013.33618164061,72870.002746582
uganda,85.31746031746032,2.6507936507936507,20.253968253968253,0.6825396825396826,85.31746031746032,5630.000114440917,5860.0001335144
ukraine,51.054794520547944,1.0,37.945205479452056,0.680365296803653,43.68493150684932,178429.99776204434,174729.995727539
united arab emirates,163.66666666666666,1.3333333333333333,159.66666666666666,3.3333333333333335,152.66666666666666,187673.32967122435,188860.000610352
united states,59.74059888579387,1.456824512534819,27.619777158774372,8.541434540389972,58.051532033426184,4870800.130208333,4817720.21484375
uruguay,26.653846153846153,0.19230769230769232,18.96153846153846,0.8461538461538461,21.692307692307693,6376.66654586792,6489.99977111816
uzbekistan,119.08620689655173,1.0344827586206897,47.793103448275865,2.603448275862069,118.08620689655173,112903.33302815766,116709.999084473
vanuatu,30.0,0.0,25.0,0.0,30.0,196.66666289170567,209.999993443489
vietnam,87.05,2.3666666666666667,46.233333333333334,2.6333333333333333,82.48333333333333,284179.99776204437,336489.990234375
yemen,144.57142857142858,1.2857142857142858,55.42857142857143,0.7142857142857143,144.57142857142858,10276.66695912677,11100.0003814697
zambia,40.666666666666664,0.6904761904761905,20.19047619047619,0.09523809523809523,39.95238095238095,7113.333384195964,6800.00019073486
zimbabwe,43.74074074074074,1.2962962962962963,18.074074074074073,0.4444444444444444,42.74074074074074,11493.333498636866,11760.0002288818
